id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
35022,UA-8381,closed,"Liubsha Air Base",49.2883,24.198299,807,EU,Ukraine,UA,"Lviv Oblast",UA-46,46,Kalush,0,,,,,https://en.wikipedia.org/wiki/Liubsha_(air_base),,50,2023-09-30T06:44:21+00:00
44684,UA-0046,small_airport,"Kalynivka Air Base",49.485372,28.539097,,EU,Ukraine,UA,"Vinnytsia Oblast",UA-05,05,Kalynivka,0,,,,,,"Kalinovka Air Base, Аэродром Калиновка",50,2022-03-08T12:11:13+00:00
321214,UA-0107,small_airport,"Kam'yanets'-Podil's'kyi Airfield",48.695634,26.609469,,EU,Ukraine,UA,"Khmelnytskyi Oblast",UA-68,68,Kamyan'ka,0,,KCP,,,,"Mekanik Avia, Механик Авиа",50,2023-03-19T07:39:52+00:00
31747,UKFK,small_airport,"Kerch Airport",45.372501373291016,36.40140151977539,171,EU,Ukraine,UA,"Crimea (Autonomous Republic)",UA-43,43,Kerch,0,UKFK,KHC,,,,,50,2008-08-03T11:50:53+00:00
44431,UKHD,small_airport,"Kharkiv North Airport",50.025002,36.268902,592,EU,Ukraine,UA,"Kharkiv Oblast",UA-63,63,Kharkiv,0,UKHV,,,,https://en.wikipedia.org/wiki/Kharkiv_North_Airport,"Kharkiv North Airport, Kharkiv Sokolniki Airport, Kharkоv Severny Airport, Аэропорт Харьков Северный, Аэропорт Харьков Сокольники, Аеропорт Харків-Північний",50,2020-09-26T04:59:46+00:00
31744,UKKG,small_airport,"Kirovograd Airport",48.54280090332031,32.28499984741211,568,EU,Ukraine,UA,"Kirovohrad Oblast",UA-35,35,Kirovograd,0,UKKG,KGO,,,,,50,2008-12-30T14:07:28+00:00
46365,UA-0067,small_airport,"Kanatove Air Base",48.561364587499995,32.3872071505,,EU,Ukraine,UA,"Kirovohrad Oblast",UA-35,35,Kirovohrad,0,,,,,,"Kanatovo Air Base, Аеродром Канатове, Аэродром Канатово",50,2010-03-27T17:22:49+00:00
326268,UA-0121,small_airport,"Kobelyachok Airstrip",49.0522143,33.7993478,,EU,Ukraine,UA,"Poltava Oblast",UA-53,53,Kobelyachok,0,,,,,,,50,2018-01-28T02:22:40+00:00
35006,UA-3578,small_airport,"Konotop Air Base",51.25,33.1500015259,476,EU,Ukraine,UA,"Sumy Oblast",UA-59,59,Konotop,0,UKBF,,,,https://en.wikipedia.org/wiki/Konotop_(air_base),,50,2012-08-04T22:57:31+00:00
320502,UA-0090,small_airport,"Korostelivka Airstrip",50.557511,28.781421,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Korostelivka,0,,,,,,,50,2021-01-27T16:00:12+00:00
